Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3
,,,,,,,,109,2381.258857,10180.9655,6680.456872
,,,,,,,,110,2501.179921,10473.4127,6682.663056
,,,,,,,,111,2549.264761,10756.30567,6910.270993
,,,,,,,,112,2658.693441,11145.40711,7382.892459
,,,,,,,,113,2821.921093,11034.45536,7904.946175
,,,,,,,,114,2945.085627,9951.476276,8005.058392
,,,,,,,,115,2955.545459,9125.815936,7885.217868
,,,,,,,,116,2917.54848,9007.505211,7587.413269
,,,,,,,,117,2744.332867,8653.696907,7178.557921
,,,,,,,,118,2497.312783,8318.127441,6325.771304
,,,,,,,,119,2209.885685,7874.570866,5654.310924
,,,,,,,,120,2128.605635,7337.414799,5549.914239
,,,,,,,,121,1947.079334,6847.819113,4977.065019
,,,,,,,,122,1656.994407,6447.31085,5017.744962
,,,,,,,,123,1525.607615,6293.672684,4626.983737
,,,,,,,,124,1487.378309,6267.835285,4515.066755
,,,,,,,,125,1482.669511,6291.74354,4559.130965
,,,,,,,,126,1510.36077,6340.808565,4576.494745
,,,,,,,,127,1533.587479,6686.121855,4802.770798
,,,,,,,,128,1653.88641,7273.04197,5243.770191
,,,,,,,,129,1833.832417,8199.951365,5841.523532
,,,,,,,,130,2000.665399,8876.443282,6357.615301
,,,,,,,,131,2185.761356,9749.15658,6662.417463
,,,,,,,,132,2240.550249,10632.91225,6585.248468
,,,,,,,,133,2312.553722,11264.54833,6519.340201
,,,,,,,,134,2346.120061,11665.01568,6440.588704
,,,,,,,,135,2450.926685,12123.45522,6508.05481
,,,,,,,,136,2587.38821,12546.67369,6638.753123
,,,,,,,,137,2699.411689,12538.84971,6773.41823
,,,,,,,,138,2775.877272,12457.09735,6832.666561
,,,,,,,,139,2787.172453,11966.77654,6508.629652
,,,,,,,,140,2747.266114,11728.19734,6084.971765
,,,,,,,,141,2702.155059,11231.82045,5922.803806
,,,,,,,,142,2493.576739,10044.90515,5509.053322
,,,,,,,,143,2265.289006,8657.901311,5169.721337
,,,,,,,,144,2174.208407,7593.717107,5185.158231
,,,,,,,,145,1986.282878,6965.578808,4796.408141
,,,,,,,,146,1711.857186,6552.54387,4874.155719
,,,,,,,,147,1552.271233,6406.283215,4515.174474
,,,,,,,,148,1506.548072,6353.276172,4387.307222
,,,,,,,,149,1529.383375,6361.960781,4426.577357
,,,,,,,,150,1519.044404,6377.336743,4366.327814
,,,,,,,,151,1552.057125,6609.261534,4458.281083
,,,,,,,,152,1653.32713,7175.805947,4649.151722
,,,,,,,,153,1814.5539,8541.803779,4907.149453
,,,,,,,,154,2054.104963,10199.08598,5111.654894
,,,,,,,,155,2370.406513,11165.10658,5255.667589
,,,,,,,,156,2419.345634,11494.49576,5308.087155
,,,,,,,,157,2501.567395,11584.62811,5379.14158
,,,,,,,,158,2523.293444,11561.41475,5572.327475
,,,,,,,,159,2593.45483,11655.15024,5929.130398
,,,,,,,,160,2704.4493,11681.0173,6343.558424
,,,,,,,,161,2858.050259,11493.16625,6805.973872
,,,,,,,,162,3001.667744,11227.404,7145.791287
,,,,,,,,163,3065.022564,10252.1906,7121.631318
,,,,,,,,164,3055.562866,9680.571655,6824.778893
,,,,,,,,165,3036.911488,9019.515668,6678.202558
,,,,,,,,166,2828.618574,8181.732354,5916.556184
,,,,,,,,167,2552.298082,7570.109298,5311.321746
,,,,,,,,168,2435.77488,7070.195013,5229.275041
,,,,,,,,169,2265.806222,6781.37055,4846.300575
,,,,,,,,170,2035.641442,6500.232615,5011.52174
,,,,,,,,171,1947.23432,6376.482149,4733.857996
,,,,,,,,172,1859.578683,6376.657326,4633.591344
,,,,,,,,173,1879.379668,6503.663006,4760.249797
,,,,,,,,174,1928.745825,7046.631447,5170.057027
,,,,,,,,175,2129.933497,8081.221456,5969.917164
,,,,,,,,176,2475.168114,9750.728902,6672.432862
,,,,,,,,177,2755.846077,11066.3563,7566.293797
,,,,,,,,178,2923.414354,11492.54351,8106.921275
,,,,,,,,179,3072.317261,11636.81773,8659.719314
,,,,,,,,180,3023.157311,11797.10565,9178.523664
,,,,,,,,181,2991.752763,11955.28724,9488.704155
,,,,,,,,182,2882.213165,12270.51068,9755.082884
,,,,,,,,183,2889.102844,12583.53855,9748.453081
,,,,,,,,184,3043.112785,12827.91181,9979.499121
,,,,,,,,185,3170.143184,12716.92396,9980.71399
,,,,,,,,186,3175.424047,12050.78085,10023.63077
,,,,,,,,187,3264.762254,11259.61814,9893.874446
,,,,,,,,188,3275.393164,10854.64156,9679.397449
,,,,,,,,189,3125.03278,10116.09125,9370.738008
,,,,,,,,190,2800.242389,9518.237754,8450.91631
,,,,,,,,191,2524.734193,8572.208685,7318.736256
,,,,,,,,192,2413.471746,7799.141407,6976.920758
,,,,,,,,193,2243.962964,7334.182192,6181.719027
,,,,,,,,194,1926.497272,6842.498646,6298.428366
,,,,,,,,195,1815.835575,6599.068691,5739.866799
,,,,,,,,196,1790.9405,6553.729727,5607.067297
,,,,,,,,197,1777.197821,6770.820982,5789.554099
,,,,,,,,198,1848.225153,7491.094341,6473.533909
,,,,,,,,199,2005.834588,8884.938568,7690.45599
,,,,,,,,200,1984.786303,10860.72823,8459.950942
,,,,,,,,201,1936.173612,12012.32568,8853.088965
,,,,,,,,202,1785.020969,12683.63134,8981.141138
,,,,,,,,203,1682.653567,13347.90067,8994.775418
,,,,,,,,204,1435.626813,13849.82068,8912.90334
,,,,,,,,205,1309.455365,14309.66804,8881.588617
,,,,,,,,206,1268.058374,14620.5793,8964.870688
,,,,,,,,207,1298.420286,14907.59767,8597.591719
,,,,,,,,208,1321.514841,15176.57441,7758.255646
,,,,,,,,209,1434.540394,15193.71975,7221.872469
,,,,,,,,210,1510.615968,14716.95701,6696.129965
,,,,,,,,211,1580.242779,14240.95041,6307.771978
,,,,,,,,212,1625.204103,14091.59403,6205.55422
,,,,,,,,213,1753.718996,13578.12399,5993.209841
,,,,,,,,214,1736.669478,12286.75783,5474.338829
,,,,,,,,215,1673.010529,10230.9519,5136.674216
,,,,,,,,216,1698.199209,8535.389688,5252.930741
,,,,,,,,217,1705.042224,7656.263329,4976.612408
,,,,,,,,218,1474.52328,7078.65106,5143.796533
,,,,,,,,219,1379.086779,6765.460934,4837.161648
,,,,,,,,220,1353.283021,6718.311822,4799.636286
,,,,,,,,221,1316.995052,6838.990054,4934.083495
,,,,,,,,222,1485.762576,7404.636249,5245.859315
,,,,,,,,223,1556.897739,8986.853385,5925.303111
,,,,,,,,224,1628.877431,11475.62079,6251.885973
,,,,,,,,225,1546.75053,12659.96781,6241.063316
,,,,,,,,226,1452.848019,13187.32343,6053.384272
,,,,,,,,227,1450.280237,13372.77564,5827.77187
,,,,,,,,228,1242.845511,13486.29056,5517.318457
,,,,,,,,229,1186.79328,13457.25283,5212.267153
,,,,,,,,230,1229.075608,13174.43005,5076.439753
,,,,,,,,231,1230.694783,12915.63797,5001.112649
,,,,,,,,232,1311.778968,12467.1449,5123.773053
,,,,,,,,233,1401.797204,11521.48466,5347.115241
,,,,,,,,234,1472.486652,9894.320306,5297.147203
,,,,,,,,235,1567.039617,8590.487765,5233.08876
,,,,,,,,236,1648.730792,8435.448887,5274.851956
,,,,,,,,237,1795.776534,8025.596047,5417.351268
,,,,,,,,238,1776.904434,7760.398455,5113.940564
,,,,,,,,239,1690.69069,7440.918481,4936.289747
,,,,,,,,240,1740.499225,7148.011718,5167.260798
,,,,,,,,241,1734.076783,6820.81888,4964.007114
,,,,,,,,242,1531.005911,6515.154738,5153.110031
,,,,,,,,243,1476.879813,6411.717396,4879.800367
,,,,,,,,244,1478.229302,6410.011034,4765.083144
,,,,,,,,245,1479.917963,6532.883476,4884.183657
